WS/48,MP,PTS,WS,VORP,PER,eFG%,AST,Rk_Year,DBPM,Season,name,predicted,actual,index
35.4,0.541,8.8,30.4,29.8,15.4,0.289,1.4,7.7,1.0,2018,James Harden,78.91871537503891,95.5,13.458033246627295
36.9,0.59,9.1,27.5,28.6,14.0,0.221,1.4,8.2,6.0,2018,LeBron James,40.0978066680532,73.1,13.459410386230761
36.4,0.552,2.3,28.1,28.9,13.7,0.241,1.4,5.9,9.0,2018,Anthony Davis,19.51036020059398,44.1,13.204217662972166
36.6,0.519,6.6,26.9,25.2,12.6,0.227,0.3,6.3,7.0,2018,Damian Lillard,17.692396445721496,20.5,12.13854603832514
36.4,0.477,10.3,25.4,24.7,10.1,0.166,1.5,6.1,10.0,2018,Russell Westbrook,12.23178662875459,7.5,11.740280599639567
36.7,0.545,4.8,26.9,27.3,11.9,0.207,0.9,5.7,16.0,2018,Giannis Antetokounmpo,12.158103377753244,7.3999999999999995,13.249211738073615
34.2,0.586,5.4,26.4,26.0,10.4,0.215,0.6,5.5,3.0,2018,Kevin Durant,20.381905111802034,6.5,10.968025860444607
32.8,0.599,5.9,27.7,30.9,14.4,0.292,4.1,7.4,1.0,2019,Giannis Antetokounmpo,71.95007819794588,93.2,13.108992061841443
36.8,0.541,7.5,36.1,30.6,15.2,0.254,1.6,9.3,5.0,2019,James Harden,48.14879908826274,76.8,14.669203820615754
36.9,0.529,4.1,28.0,23.3,11.9,0.201,1.6,6.6,10.0,2019,Paul George,10.562495647986783,35.199999999999996,12.089773872797096
31.3,0.545,7.3,20.1,26.3,11.8,0.226,2.9,7.0,4.0,2019,Nikola Jokić,19.776779139074876,21.0,11.469162448924058
33.8,0.604,5.2,27.3,24.4,9.7,0.199,-0.5,5.1,3.0,2019,Stephen Curry,20.429738232577378,17.299999999999997,10.449793941830894
35.5,0.522,6.9,25.8,23.7,12.1,0.205,-0.3,6.0,6.0,2019,Damian Lillard,16.309246027736236,6.800000000000001,11.480288653427438
33.7,0.517,3.7,27.5,26.1,8.7,0.194,0.9,3.8,7.0,2019,Joel Embiid,10.093570685714418,4.9,10.703633311263584
30.4,0.589,5.6,29.5,31.9,11.1,0.279,4.1,6.6,1.0,2020,Giannis Antetokounmpo,37.56060335497837,95.19999999999999,12.314245075763639
34.6,0.55,10.2,25.3,25.5,9.8,0.204,1.8,6.1,3.0,2020,LeBron James,18.79069978765807,74.6,10.924732592795017
36.5,0.543,7.5,34.3,29.1,13.1,0.254,1.6,7.3,8.0,2020,James Harden,36.62538965474709,36.3,13.723415607829214
33.6,0.531,8.8,28.8,27.6,8.8,0.207,1.0,5.4,12.0,2020,Luka Dončić,13.609664030352352,19.8,12.098093564253908
32.4,0.524,4.9,27.1,26.9,8.7,0.226,2.4,5.1,4.0,2020,Kawhi Leonard,13.502214738510126,16.6,10.750893052106193
34.4,0.536,3.2,26.1,27.4,11.1,0.25,2.6,5.4,3.0,2020,Anthony Davis,24.725357365659583,8.1,11.346967507740663
31.5,0.552,6.7,17.6,21.7,8.9,0.193,1.4,3.5,10.0,2020,Chris Paul,0.6429436051306773,2.6,9.771698104942004
34.6,0.602,8.3,26.4,31.3,15.6,0.301,3.0,8.8,5.0,2021,Nikola Jokić,63.2807434640523,96.1,14.244212231066715
31.1,0.545,2.8,28.5,30.3,8.8,0.266,1.2,3.8,3.0,2021,Joel Embiid,21.690481635237845,57.99999999999999,10.962848491052743
34.2,0.605,5.8,32.0,26.3,9.0,0.201,0.4,5.8,14.0,2021,Stephen Curry,14.835710201410448,44.9,12.363900870545587
33.0,0.6,5.9,28.1,29.2,10.2,0.244,2.8,5.6,7.0,2021,Giannis Antetokounmpo,19.741628211130152,34.5,12.093808325868661
31.4,0.557,8.9,16.4,21.4,9.2,0.201,1.1,3.6,2.0,2021,Chris Paul,2.9416879239915517,13.8,8.83108935217018
34.3,0.55,8.6,27.7,25.3,7.7,0.163,0.7,5.1,8.0,2021,Luka Dončić,8.880665145980878,4.2,10.818419735585177
35.8,0.554,7.5,28.8,25.6,10.4,0.209,-1.3,5.0,10.0,2021,Damian Lillard,11.66264562190198,3.8,11.819657412033349
33.5,0.62,7.9,27.1,32.8,15.2,0.296,4.5,9.8,10.0,2022,Nikola Jokić,51.82186741363212,87.5,15.235642490552848
33.8,0.534,4.2,30.6,31.2,12.0,0.252,2.0,6.5,8.0,2022,Joel Embiid,28.12062812187812,70.6,13.303663430767443
32.9,0.582,5.8,29.9,32.1,12.9,0.281,3.5,7.4,7.0,2022,Giannis Antetokounmpo,44.90045074238844,59.5,13.760500032350135
34.5,0.53,4.8,26.8,21.3,7.6,0.156,0.2,3.6,1.0,2022,Devin Booker,8.778988485369279,21.6,8.823982305654125
35.4,0.529,8.7,28.4,25.1,7.6,0.159,1.8,5.9,5.0,2022,Luka Dončić,16.409776776598477,14.6,10.644520408315298
35.9,0.526,4.4,26.9,21.8,9.6,0.169,0.6,4.8,6.0,2022,Jayson Tatum,10.950639832657822,4.3,10.300310541357831
33.1,0.53,6.7,27.4,24.4,6.7,0.171,-0.1,3.9,2.0,2022,Ja Morant,11.083642262502142,1.0,9.345665332147103
